1995,80.56219178082198
1996,81.74508196721312
1997,81.78575342465751
1998,80.0279452054794
1999,81.27890410958904
2000,81.71038251366119
2001,81.06301369863017
2002,80.1052054794521
2003,81.43698630136983
2004,80.6027322404372
2005,81.26246575342466
2006,81.30054794520547
2007,81.46821917808224
2008,80.49262295081957
2009,82.5021917808219
2010,82.68712328767124
2011,82.28465753424652
2012,81.69644808743169
2013,81.73917808219171
2014,82.25150684931512
2015,82.61666666666663
2016,81.83934426229513
2017,83.4043835616439
2018,82.25260273972606
2019,79.8649315068493
2020,82.3820895522388
