Ahmedabad,2012-04,33.34
Bengaluru,2012-04,27.53
Bengaluru,2012-06,25.35
Patna,2017-04,30.93
Patna,2014-05,34.01
Indore,2014-04,30.36
Mumbai,2021-05,30.63
Pune,2017-05,30.21
Surat,2017-05,31.45
Patna,2016-05,31.17
Lucknow,2014-04,31.06
Mumbai,2014-05,30.39
Patna,2020-04,27.82
Pune,2019-04,30.54
Bengaluru,2017-04,28.22
Mumbai,2015-06,29.08
Patna,2016-04,33.93
Kolkata,2014-06,30.31
Jaipur,2013-04,30.95
Hyderabad,2016-05,31.56
Mumbai,2012-06,29.46
Ahmedabad,2015-06,33.0
Bhopal,2020-04,30.69
Hyderabad,2019-04,31.53
Lucknow,2013-04,29.38
Kanpur,2018-05,33.52
Lucknow,2014-05,34.54
Kanpur,2012-05,33.36
Lucknow,2021-05,29.53
Kanpur,2017-05,33.92
Jaipur,2017-06,32.76
Lucknow,2017-04,32.12
Bhopal,2018-06,31.1
Hyderabad,2015-04,30.15
Bhopal,2012-06,31.18
Bhopal,2016-05,34.75
Jaipur,2012-06,34.64
Kolkata,2020-06,30.02
Surat,2020-04,31.23
New Delhi,2021-04,29.08
Kolkata,2021-06,29.7
Chennai,2020-05,32.0
New Delhi,2017-05,33.47
Kanpur,2020-05,30.45
Jaipur,2019-06,34.85
Jaipur,2020-04,30.58
Bhopal,2013-06,27.91
Bengaluru,2020-06,24.85
New Delhi,2020-04,28.16
Patna,2015-05,34.19
Hyderabad,2013-06,27.51
Bhopal,2020-06,28.89
Chennai,2017-05,32.99
Lucknow,2012-05,33.37
Patna,2020-05,29.44
Bhopal,2021-05,32.05
Hyderabad,2020-05,32.85
Indore,2019-04,31.73
Bengaluru,2015-05,28.1
Chennai,2013-05,31.89
Bhopal,2017-06,30.84
Kolkata,2015-06,30.1
Kolkata,2018-05,29.78
Jaipur,2017-05,34.77
Indore,2014-06,31.75
Lucknow,2012-04,29.71
Hyderabad,2020-06,27.7
Bengaluru,2018-06,23.73
Bengaluru,2012-05,26.95
Kanpur,2021-04,30.13
Kanpur,2014-06,35.99
Patna,2012-05,35.46
Indore,2021-04,29.83
Pune,2020-06,26.31
Patna,2020-06,28.71
Bengaluru,2020-04,27.35
Mumbai,2014-04,29.06
Chennai,2021-06,31.53
Bengaluru,2017-06,24.49
Ahmedabad,2021-05,33.76
Indore,2020-05,36.73
Bhopal,2015-06,30.41
Kolkata,2018-04,29.37
Chennai,2014-06,32.29
Pune,2013-06,25.33
New Delhi,2015-06,32.79
Kolkata,2019-05,31.16
New Delhi,2015-05,34.05
Indore,2015-05,34.13
Jaipur,2013-05,33.15
Mumbai,2016-05,30.87
Indore,2021-06,28.02
Chennai,2019-06,32.59
Bhopal,2019-05,34.7
Lucknow,2019-05,33.63
Pune,2016-06,27.24
Kanpur,2017-04,32.08
Mumbai,2020-04,30.07
New Delhi,2018-04,30.81
Lucknow,2017-06,34.43
Mumbai,2016-04,29.64
Kolkata,2016-06,30.54
Bhopal,2012-04,31.34
Patna,2013-05,32.58
New Delhi,2021-06,32.32
Mumbai,2020-06,29.16
Jaipur,2019-05,34.21
Surat,2019-05,30.82
Bhopal,2014-05,33.11
Chennai,2014-05,31.65
Kolkata,2014-05,31.18
Bengaluru,2016-06,23.93
Ahmedabad,2016-06,34.29
Bhopal,2020-05,33.98
Mumbai,2016-06,29.88
Bengaluru,2021-06,24.56
Chennai,2019-05,32.48
Kolkata,2018-06,30.19
Hyderabad,2014-04,31.2
Indore,2020-06,29.07
Bengaluru,2013-06,23.73
Mumbai,2015-04,29.58
Bhopal,2021-04,30.99
Surat,2016-05,31.31
Surat,2015-06,29.57
Surat,2013-05,30.67
Bengaluru,2021-04,27.3
Ahmedabad,2017-05,35.14
Pune,2013-04,29.04
Mumbai,2021-06,28.56
Chennai,2015-06,31.68
Bengaluru,2014-04,30.18
Kolkata,2012-04,29.91
Indore,2013-04,29.61
Pune,2012-06,27.17
Ahmedabad,2018-04,33.52
Surat,2012-05,30.34
Surat,2015-05,31.59
Bhopal,2019-06,33.81
Lucknow,2020-04,28.47
Indore,2018-05,34.22
Mumbai,2015-05,31.35
New Delhi,2021-05,30.48
Ahmedabad,2021-04,33.76
Pune,2016-05,30.32
Bhopal,2013-04,30.15
Hyderabad,2017-06,27.83
Kanpur,2015-04,29.2
Hyderabad,2018-04,30.73
Jaipur,2015-04,29.63
Chennai,2012-06,32.57
Mumbai,2019-06,30.08
Bengaluru,2014-06,27.92
Pune,2020-05,30.27
New Delhi,2017-06,32.65
Ahmedabad,2016-05,35.81
Kolkata,2013-04,30.17
Patna,2012-04,31.91
Patna,2019-04,29.76
Patna,2016-06,32.46
Hyderabad,2016-04,33.53
Chennai,2013-06,31.09
Ahmedabad,2012-06,33.8
Pune,2012-04,29.53
Jaipur,2021-06,32.52
Chennai,2018-04,31.37
Indore,2013-05,32.72
New Delhi,2018-06,34.7
Bhopal,2016-04,32.77
Kanpur,2015-06,35.07
Kanpur,2013-04,29.37
Patna,2021-05,26.78
Kolkata,2017-04,30.32
Lucknow,2014-06,35.97
Kanpur,2019-06,33.29
Surat,2017-06,30.51
Bengaluru,2015-04,27.92
Lucknow,2020-06,30.11
Kanpur,2018-06,33.85
Pune,2015-06,26.44
New Delhi,2012-06,36.08
Kanpur,2021-06,30.09
Bengaluru,2019-05,27.32
Mumbai,2017-05,30.92
Jaipur,2021-05,31.12
Hyderabad,2019-05,34.28
Ahmedabad,2016-04,32.4
New Delhi,2013-05,34.5
Surat,2016-06,30.87
Pune,2015-05,29.72
Hyderabad,2015-06,28.31
Kanpur,2015-05,35.15
Lucknow,2015-05,35.13
Pune,2021-04,28.6
Bengaluru,2019-04,28.23
Bengaluru,2016-04,30.18
Patna,2015-04,29.74
Patna,2012-06,35.63
Bengaluru,2021-05,26.18
Pune,2017-04,29.35
Kolkata,2017-05,31.1
Chennai,2017-06,32.26
Indore,2016-06,31.5
Ahmedabad,2014-06,34.56
Hyderabad,2017-05,33.43
Kolkata,2012-06,31.41
Lucknow,2021-04,30.06
Indore,2019-06,31.66
Hyderabad,2018-06,29.01
Jaipur,2014-04,30.21
Chennai,2012-04,30.71
Hyderabad,2019-06,30.77
Surat,2017-04,30.0
Hyderabad,2013-04,31.48
Chennai,2020-06,31.99
New Delhi,2013-04,29.4
Bhopal,2014-04,30.49
Indore,2015-04,29.35
Ahmedabad,2015-05,36.17
Jaipur,2013-06,31.29
Chennai,2017-04,31.61
Lucknow,2017-05,33.96
Pune,2016-04,30.13
Chennai,2015-05,31.79
Indore,2020-04,31.34
Mumbai,2013-05,30.26
Bhopal,2017-05,35.21
Chennai,2012-05,33.12
Chennai,2020-04,30.12
Lucknow,2018-05,33.49
Indore,2018-06,29.72
Indore,2016-04,31.63
Indore,2019-05,33.49
Kolkata,2021-05,29.65
Ahmedabad,2017-04,32.22
Surat,2013-06,28.88
Mumbai,2014-06,31.06
Bhopal,2019-04,32.73
Bhopal,2015-04,30.09
Bhopal,2013-05,34.59
Chennai,2019-04,31.19
Surat,2018-06,30.82
Jaipur,2015-06,32.76
Hyderabad,2021-06,27.04
Ahmedabad,2020-04,33.06
Lucknow,2013-05,33.29
Chennai,2016-04,31.49
Bengaluru,2013-04,27.91
Hyderabad,2017-04,32.9
Chennai,2016-06,30.64
Surat,2020-05,32.21
Bhopal,2018-04,32.56
Surat,2013-04,29.44
Lucknow,2016-05,33.52
Lucknow,2019-04,30.05
Hyderabad,2016-06,28.22
